,0
0,3/5
1,"Переход с 7го айфона на 11 не вызвал никаких впечатлений. Первое, на что обращаешь внимание - неудобство в использовании. Теперь девайс требует задействовать обе руки. Второй недостаток, который со временем даст о себе знать, это стекло с обоих сторон. Царапается оно очень легко. Особенно критично поцарапать стекло в районе камеры. Основная камера хороша. А ширик не поддерживает ночную съемку, да и вообще требователен к освещению. В целом телефон неплохой, но без вау-эфекта."
2,"Телефон с отличной автономностью. В вопросах производительности нареканий нет! 
Тем не менее смог пропользоваться телефоном 4 месяца, так и не привыкнув к его габаритам. Телефон крайне не удобен в одной руке. 
С этим всем ещё можно было бы смириться но оказалось что у серии Xr есть массовый брак с пятнами на дисплеях. В итоге отказался от этого телефона."
3,"За свою цену слабый смартфон. Быстро разряжается, лагает. Честно говоря, даже не знаю, по поводу камеры. Как только солнечного света становится меньше совсем чуууть-чуть, так сразу же она снимает просто отвратительно. Да, красивый экран, дизайн самого смартфона, но я бы лучше взял тот, который некрасивый, но мощный. К сожалению, не рекомендую этот смартфон, хотя все остальные смарты показали себя с лучшей стороны. Этот мне ну не очень понравился. Выглядит знатно, но слаб"
4,"Это самый глючный телефон на свете. Ему красная цена 300 рублей.
Он тупит. Во всём. Открыть клавиатуру - завис. Открыть телефонную книгу - завис. Открыть браузер - завис. Открыть игру - завис. Хочешь разблокировать экран? Лови чёрный экран на час. 
Динамик тихий и хрипит как умирающий алкаш. 
Уже на следующий день после покупки, у этого чудо кирпича увидел скол около динамика. Внутренний скол и просвет. Не ронял и не бил.
Это самый отвратный телефон. Никогда не берите эту хрень!"
5,"стоит брать,тем более за такие деньги."
6,Пойдет только для звонков и то после оптимизации. Вацап работает нормально. А тормозит смарт из-за нехватки оперативки.
7,"за свой деньги нормальный аппарат что порадовало это экран 6 дюймов ,Встроенная память 128 ГБ,Сканер отпечатка пальца, гаджет уверенно держится на играх , отклик хороший не тупит ,батарейка тоже пока держит норм , намудрили с меню и настройками немного бы упростить"
8,"Купил данную вещицу ради камеры, чтобы была такого же уровня как у сына (у него samsung galaxy 6). К технике Apple привык и менять не хотелось бы, но тут я разочаровался... Камера то теперь дотягивает до уровня Samsung, но как же теперь разговаривать или слушать радио через наушники когда мне нужно его одновременно и зарядить???!!! ЭТО ЧТО ЗА ОБЛОМ??... Придётся видимо менять производителя... (((("
9,"Деградация господа! Убрать миниджек - это шаг в прошлое. Я люблю слушать музыку в больших наушниках и частенько подключал их. Более того, пользовался наушниками и во время зарядки! А теперь я должен стоять перед выбором заряжать мне аппарат или же воткнуть наушники!!!! Пять жирных минусов!!!!!!! Это провал."
